business_date,store_id,temp_f,condition
2026-05-22,1001,83,cloudy
2026-05-22,1002,87,stormy
2026-05-22,1003,90,stormy
2026-05-23,1001,91,cloudy
2026-05-23,1002,87,sunny
2026-05-23,1003,80,cloudy
2026-05-24,1001,79,stormy
2026-05-24,1002,85,sunny
2026-05-24,1003,90,stormy
2026-05-25,1001,79,cloudy
2026-05-25,1002,78,humid
2026-05-25,1003,87,humid
2026-05-26,1001,88,sunny
2026-05-26,1002,92,sunny
2026-05-26,1003,81,sunny
2026-05-27,1001,89,sunny
2026-05-27,1002,84,cloudy
2026-05-27,1003,95,humid
2026-05-28,1001,90,cloudy
2026-05-28,1002,78,cloudy
2026-05-28,1003,86,humid
2026-05-29,1001,81,stormy
2026-05-29,1002,85,sunny
2026-05-29,1003,85,cloudy
2026-05-30,1001,82,stormy
2026-05-30,1002,83,cloudy
2026-05-30,1003,78,humid
2026-05-31,1001,83,sunny
2026-05-31,1002,91,sunny
2026-05-31,1003,95,cloudy
2026-06-01,1001,89,stormy
2026-06-01,1002,94,sunny
2026-06-01,1003,82,humid
2026-06-02,1001,84,stormy
2026-06-02,1002,95,humid
2026-06-02,1003,94,stormy
2026-06-03,1001,84,sunny
2026-06-03,1002,78,cloudy
2026-06-03,1003,89,cloudy
2026-06-04,1001,85,stormy
2026-06-04,1002,80,cloudy
2026-06-04,1003,87,stormy
