business_date,store_id,item_id,waste_units,reason_code
2026-05-22,1001,SKU001,2,damage
2026-05-22,1001,SKU003,1,damage
2026-05-22,1001,SKU005,2,damage
2026-05-22,1001,SKU006,1,expired
2026-05-22,1001,SKU007,3,damage
2026-05-22,1001,SKU008,2,damage
2026-05-22,1001,SKU010,2,damage
2026-05-22,1002,SKU004,2,expired
2026-05-22,1002,SKU006,1,damage
2026-05-22,1002,SKU007,1,expired
2026-05-22,1002,SKU008,2,expired
2026-05-22,1003,SKU001,3,damage
2026-05-22,1003,SKU002,3,expired
2026-05-22,1003,SKU003,1,expired
2026-05-22,1003,SKU006,2,damage
2026-05-22,1003,SKU007,2,damage
2026-05-22,1003,SKU010,1,expired
2026-05-23,1001,SKU001,4,damage
2026-05-23,1001,SKU003,4,expired
2026-05-23,1001,SKU005,1,quality
2026-05-23,1001,SKU008,1,quality
2026-05-23,1001,SKU010,2,expired
2026-05-23,1002,SKU001,2,expired
2026-05-23,1002,SKU002,2,expired
2026-05-23,1002,SKU004,1,damage
2026-05-23,1002,SKU005,2,expired
2026-05-23,1002,SKU006,1,expired
2026-05-23,1002,SKU007,3,quality
2026-05-23,1002,SKU010,3,expired
2026-05-23,1003,SKU004,1,expired
2026-05-23,1003,SKU005,1,damage
2026-05-23,1003,SKU006,2,expired
2026-05-23,1003,SKU007,1,quality
2026-05-23,1003,SKU008,1,quality
2026-05-24,1001,SKU001,1,expired
2026-05-24,1001,SKU003,2,expired
2026-05-24,1001,SKU005,1,quality
2026-05-24,1001,SKU006,1,expired
2026-05-24,1001,SKU007,3,quality
2026-05-24,1002,SKU001,3,expired
2026-05-24,1002,SKU002,1,damage
2026-05-24,1002,SKU007,2,expired
2026-05-24,1002,SKU008,1,quality
2026-05-24,1002,SKU010,1,quality
2026-05-24,1003,SKU001,2,quality
2026-05-24,1003,SKU003,1,expired
2026-05-24,1003,SKU006,1,damage
2026-05-24,1003,SKU007,4,quality
2026-05-24,1003,SKU008,2,expired
2026-05-25,1001,SKU001,2,expired
2026-05-25,1001,SKU003,3,expired
2026-05-25,1001,SKU004,1,quality
2026-05-25,1001,SKU005,1,expired
2026-05-25,1001,SKU006,2,quality
2026-05-25,1001,SKU007,2,damage
2026-05-25,1001,SKU008,1,quality
2026-05-25,1001,SKU010,2,damage
2026-05-25,1002,SKU001,1,quality
2026-05-25,1002,SKU004,1,expired
2026-05-25,1002,SKU006,1,expired
2026-05-25,1002,SKU007,2,quality
2026-05-25,1002,SKU008,1,quality
2026-05-25,1002,SKU010,1,quality
2026-05-25,1003,SKU002,1,damage
2026-05-25,1003,SKU005,1,quality
2026-05-25,1003,SKU007,1,expired
2026-05-25,1003,SKU008,3,expired
2026-05-26,1001,SKU003,1,quality
2026-05-26,1001,SKU005,2,expired
2026-05-26,1001,SKU007,1,damage
2026-05-26,1001,SKU008,2,quality
2026-05-26,1001,SKU010,2,damage
2026-05-26,1002,SKU002,1,expired
2026-05-26,1002,SKU004,1,damage
2026-05-26,1002,SKU006,2,damage
2026-05-26,1002,SKU007,2,damage
2026-05-26,1002,SKU008,1,quality
2026-05-26,1002,SKU010,1,quality
2026-05-26,1003,SKU001,2,damage
2026-05-26,1003,SKU003,1,damage
2026-05-26,1003,SKU004,3,damage
2026-05-26,1003,SKU005,1,quality
2026-05-26,1003,SKU007,2,expired
2026-05-26,1003,SKU008,1,damage
2026-05-26,1003,SKU010,1,damage
2026-05-27,1001,SKU002,2,expired
2026-05-27,1001,SKU008,3,quality
2026-05-27,1001,SKU010,1,damage
2026-05-27,1002,SKU001,1,expired
2026-05-27,1002,SKU002,2,expired
2026-05-27,1002,SKU003,1,damage
2026-05-27,1002,SKU005,2,expired
2026-05-27,1002,SKU006,2,quality
2026-05-27,1002,SKU007,1,expired
2026-05-27,1002,SKU008,1,expired
2026-05-27,1002,SKU010,1,quality
2026-05-27,1003,SKU001,3,expired
2026-05-27,1003,SKU002,1,expired
2026-05-27,1003,SKU003,2,damage
2026-05-27,1003,SKU004,3,quality
2026-05-27,1003,SKU005,3,quality
2026-05-27,1003,SKU006,1,expired
2026-05-27,1003,SKU010,2,damage
2026-05-28,1001,SKU001,1,damage
2026-05-28,1001,SKU002,1,expired
2026-05-28,1001,SKU004,3,damage
2026-05-28,1001,SKU006,3,expired
2026-05-28,1002,SKU001,2,expired
2026-05-28,1002,SKU002,1,damage
2026-05-28,1002,SKU003,1,damage
2026-05-28,1002,SKU004,1,damage
2026-05-28,1002,SKU005,2,damage
2026-05-28,1002,SKU006,3,expired
2026-05-28,1002,SKU007,3,damage
2026-05-28,1002,SKU008,1,quality
2026-05-28,1002,SKU010,1,expired
2026-05-28,1003,SKU003,4,quality
2026-05-28,1003,SKU008,1,expired
2026-05-28,1003,SKU010,2,expired
2026-05-29,1001,SKU001,3,damage
2026-05-29,1001,SKU002,2,expired
2026-05-29,1001,SKU004,2,quality
2026-05-29,1001,SKU007,2,quality
2026-05-29,1001,SKU008,1,quality
2026-05-29,1002,SKU003,1,damage
2026-05-29,1002,SKU004,1,damage
2026-05-29,1002,SKU006,1,expired
2026-05-29,1002,SKU007,2,quality
2026-05-29,1002,SKU008,1,damage
2026-05-29,1002,SKU010,2,expired
2026-05-29,1003,SKU001,2,quality
2026-05-29,1003,SKU002,3,damage
2026-05-29,1003,SKU003,2,quality
2026-05-29,1003,SKU004,2,damage
2026-05-29,1003,SKU005,2,damage
2026-05-29,1003,SKU006,1,expired
2026-05-29,1003,SKU010,2,expired
2026-05-30,1001,SKU001,1,damage
2026-05-30,1001,SKU002,2,quality
2026-05-30,1001,SKU003,1,expired
2026-05-30,1001,SKU004,1,expired
2026-05-30,1001,SKU006,2,expired
2026-05-30,1001,SKU007,1,damage
2026-05-30,1001,SKU008,1,expired
2026-05-30,1001,SKU010,2,quality
2026-05-30,1002,SKU001,2,expired
2026-05-30,1002,SKU002,1,damage
2026-05-30,1002,SKU003,2,damage
2026-05-30,1002,SKU004,2,expired
2026-05-30,1002,SKU008,1,damage
2026-05-30,1002,SKU010,2,damage
2026-05-30,1003,SKU001,4,quality
2026-05-30,1003,SKU002,1,expired
2026-05-30,1003,SKU003,1,quality
2026-05-30,1003,SKU004,2,damage
2026-05-30,1003,SKU006,2,damage
2026-05-30,1003,SKU008,2,expired
2026-05-31,1001,SKU001,4,damage
2026-05-31,1001,SKU002,1,damage
2026-05-31,1001,SKU003,2,expired
2026-05-31,1001,SKU004,1,quality
2026-05-31,1001,SKU010,1,damage
2026-05-31,1002,SKU001,1,expired
2026-05-31,1002,SKU006,1,quality
2026-05-31,1002,SKU007,1,damage
2026-05-31,1002,SKU008,1,damage
2026-05-31,1002,SKU010,2,quality
2026-05-31,1003,SKU001,2,quality
2026-05-31,1003,SKU002,1,damage
2026-05-31,1003,SKU006,1,expired
2026-05-31,1003,SKU007,1,quality
2026-06-01,1001,SKU002,1,damage
2026-06-01,1001,SKU004,1,quality
2026-06-01,1001,SKU005,3,expired
2026-06-01,1001,SKU006,1,expired
2026-06-01,1001,SKU007,1,damage
2026-06-01,1001,SKU010,1,damage
2026-06-01,1002,SKU002,1,damage
2026-06-01,1002,SKU003,2,expired
2026-06-01,1002,SKU005,3,expired
2026-06-01,1002,SKU006,1,expired
2026-06-01,1002,SKU008,2,expired
2026-06-01,1003,SKU001,2,damage
2026-06-01,1003,SKU004,2,damage
2026-06-01,1003,SKU006,1,quality
2026-06-01,1003,SKU007,2,quality
2026-06-01,1003,SKU008,1,expired
2026-06-01,1003,SKU010,1,quality
2026-06-02,1001,SKU003,2,expired
2026-06-02,1001,SKU004,2,expired
2026-06-02,1001,SKU005,3,damage
2026-06-02,1001,SKU008,3,quality
2026-06-02,1002,SKU001,2,damage
2026-06-02,1002,SKU005,1,expired
2026-06-02,1002,SKU006,1,quality
2026-06-02,1002,SKU007,1,quality
2026-06-02,1002,SKU010,2,damage
2026-06-02,1003,SKU004,1,quality
2026-06-02,1003,SKU008,2,expired
2026-06-02,1003,SKU010,2,damage
2026-06-03,1001,SKU003,1,damage
2026-06-03,1001,SKU004,1,expired
2026-06-03,1001,SKU008,1,damage
2026-06-03,1002,SKU001,2,quality
2026-06-03,1002,SKU002,1,expired
2026-06-03,1002,SKU006,1,damage
2026-06-03,1002,SKU007,3,damage
2026-06-03,1002,SKU010,1,expired
2026-06-03,1003,SKU001,2,damage
2026-06-03,1003,SKU003,2,damage
2026-06-03,1003,SKU006,1,quality
2026-06-03,1003,SKU007,2,damage
2026-06-03,1003,SKU008,2,expired
2026-06-03,1003,SKU010,1,expired
2026-06-04,1001,SKU001,1,expired
2026-06-04,1001,SKU003,2,damage
2026-06-04,1001,SKU004,2,quality
2026-06-04,1001,SKU006,1,damage
2026-06-04,1001,SKU007,4,damage
2026-06-04,1001,SKU008,3,quality
2026-06-04,1001,SKU010,1,expired
2026-06-04,1002,SKU002,1,damage
