delivery_ts,store_id,item_id,delivery_units,vendor_name
2026-05-22T05:30:00,1001,SKU001,89,Regional DC
2026-05-22T05:30:00,1001,SKU002,32,Regional DC
2026-05-22T05:30:00,1001,SKU003,31,FreshSource
2026-05-22T05:30:00,1001,SKU004,27,FreshSource
2026-05-22T05:30:00,1001,SKU005,29,Regional DC
2026-05-22T05:30:00,1001,SKU006,19,Local Vendor
2026-05-22T05:30:00,1001,SKU007,29,Local Vendor
2026-05-22T05:30:00,1001,SKU008,22,Regional DC
2026-05-22T05:30:00,1001,SKU010,23,Local Vendor
2026-05-22T05:30:00,1001,SKU012,18,Local Vendor
2026-05-22T05:30:00,1001,SKU014,14,FreshSource
2026-05-22T05:30:00,1001,SKU015,6,Regional DC
2026-05-22T05:30:00,1002,SKU001,90,Regional DC
2026-05-22T05:30:00,1002,SKU002,32,Regional DC
2026-05-22T05:30:00,1002,SKU003,34,FreshSource
2026-05-22T05:30:00,1002,SKU004,30,Local Vendor
2026-05-22T05:30:00,1002,SKU005,23,FreshSource
2026-05-22T05:30:00,1002,SKU006,17,Local Vendor
2026-05-22T05:30:00,1002,SKU007,28,Regional DC
2026-05-22T05:30:00,1002,SKU008,17,FreshSource
2026-05-22T05:30:00,1002,SKU010,23,FreshSource
2026-05-22T05:30:00,1002,SKU015,11,Local Vendor
2026-05-22T05:30:00,1003,SKU001,90,Regional DC
2026-05-22T05:30:00,1003,SKU002,39,Local Vendor
2026-05-22T05:30:00,1003,SKU003,35,Local Vendor
2026-05-22T05:30:00,1003,SKU004,31,Regional DC
2026-05-22T05:30:00,1003,SKU005,27,FreshSource
2026-05-22T05:30:00,1003,SKU006,23,Local Vendor
2026-05-22T05:30:00,1003,SKU007,20,Regional DC
2026-05-22T05:30:00,1003,SKU008,23,FreshSource
2026-05-22T05:30:00,1003,SKU010,22,Local Vendor
2026-05-22T05:30:00,1003,SKU011,15,Local Vendor
2026-05-22T05:30:00,1003,SKU012,13,FreshSource
2026-05-22T05:30:00,1003,SKU013,13,Local Vendor
2026-05-22T05:30:00,1003,SKU014,16,FreshSource
2026-05-22T05:30:00,1003,SKU015,12,Regional DC
2026-05-23T05:30:00,1001,SKU001,90,Regional DC
2026-05-23T05:30:00,1001,SKU002,37,FreshSource
2026-05-23T05:30:00,1001,SKU003,37,Regional DC
2026-05-23T05:30:00,1001,SKU004,23,Local Vendor
2026-05-23T05:30:00,1001,SKU005,28,Regional DC
2026-05-23T05:30:00,1001,SKU006,17,Local Vendor
2026-05-23T05:30:00,1001,SKU007,20,Regional DC
2026-05-23T05:30:00,1001,SKU008,20,Local Vendor
2026-05-23T05:30:00,1001,SKU009,23,Local Vendor
2026-05-23T05:30:00,1001,SKU010,26,FreshSource
2026-05-23T05:30:00,1001,SKU011,14,Regional DC
2026-05-23T05:30:00,1001,SKU014,17,Regional DC
2026-05-23T05:30:00,1001,SKU015,9,Regional DC
2026-05-23T05:30:00,1002,SKU001,84,Local Vendor
2026-05-23T05:30:00,1002,SKU002,37,Regional DC
2026-05-23T05:30:00,1002,SKU003,33,Local Vendor
2026-05-23T05:30:00,1002,SKU004,31,FreshSource
2026-05-23T05:30:00,1002,SKU005,27,Regional DC
2026-05-23T05:30:00,1002,SKU006,21,FreshSource
2026-05-23T05:30:00,1002,SKU007,21,Local Vendor
2026-05-23T05:30:00,1002,SKU008,17,FreshSource
2026-05-23T05:30:00,1002,SKU010,22,FreshSource
2026-05-23T05:30:00,1002,SKU011,19,Local Vendor
2026-05-23T05:30:00,1002,SKU012,17,Regional DC
2026-05-23T05:30:00,1002,SKU013,10,FreshSource
2026-05-23T05:30:00,1002,SKU014,19,FreshSource
2026-05-23T05:30:00,1002,SKU015,12,Regional DC
2026-05-23T05:30:00,1003,SKU001,86,Regional DC
2026-05-23T05:30:00,1003,SKU002,36,Local Vendor
2026-05-23T05:30:00,1003,SKU003,28,Local Vendor
2026-05-23T05:30:00,1003,SKU004,28,FreshSource
2026-05-23T05:30:00,1003,SKU005,28,Local Vendor
2026-05-23T05:30:00,1003,SKU006,21,Local Vendor
2026-05-23T05:30:00,1003,SKU007,22,Local Vendor
2026-05-23T05:30:00,1003,SKU008,19,Local Vendor
2026-05-23T05:30:00,1003,SKU010,26,Regional DC
2026-05-23T05:30:00,1003,SKU011,19,Regional DC
2026-05-23T05:30:00,1003,SKU012,13,FreshSource
2026-05-23T05:30:00,1003,SKU015,13,Local Vendor
2026-05-24T05:30:00,1001,SKU001,90,Local Vendor
2026-05-24T05:30:00,1001,SKU002,37,FreshSource
2026-05-24T05:30:00,1001,SKU003,36,Local Vendor
2026-05-24T05:30:00,1001,SKU004,25,FreshSource
2026-05-24T05:30:00,1001,SKU005,24,Local Vendor
2026-05-24T05:30:00,1001,SKU006,25,Regional DC
2026-05-24T05:30:00,1001,SKU007,21,Local Vendor
2026-05-24T05:30:00,1001,SKU008,20,Regional DC
2026-05-24T05:30:00,1001,SKU009,20,Regional DC
2026-05-24T05:30:00,1001,SKU010,16,FreshSource
2026-05-24T05:30:00,1001,SKU011,17,FreshSource
2026-05-24T05:30:00,1001,SKU012,15,Local Vendor
