business_date,store_id,department,scheduled_hours
2026-05-22,1001,produce,16.2
2026-05-22,1001,dairy,12.4
2026-05-22,1001,meat,13.8
2026-05-22,1001,bakery,12.2
2026-05-22,1001,grocery,23.5
2026-05-22,1001,frozen,16.1
2026-05-22,1002,produce,15.5
2026-05-22,1002,dairy,13.2
2026-05-22,1002,meat,14.9
2026-05-22,1002,bakery,15.5
2026-05-22,1002,grocery,21.8
2026-05-22,1002,frozen,13.1
2026-05-22,1003,produce,15.3
2026-05-22,1003,dairy,14.9
2026-05-22,1003,meat,16.3
2026-05-22,1003,bakery,13.4
2026-05-22,1003,grocery,20.0
2026-05-22,1003,frozen,12.1
2026-05-23,1001,produce,14.6
2026-05-23,1001,dairy,15.9
2026-05-23,1001,meat,16.8
2026-05-23,1001,bakery,18.5
2026-05-23,1001,grocery,26.2
2026-05-23,1001,frozen,14.5
2026-05-23,1002,produce,17.4
2026-05-23,1002,dairy,16.3
2026-05-23,1002,meat,16.8
2026-05-23,1002,bakery,17.3
2026-05-23,1002,grocery,26.9
2026-05-23,1002,frozen,17.2
2026-05-23,1003,produce,18.5
2026-05-23,1003,dairy,14.7
2026-05-23,1003,meat,15.7
2026-05-23,1003,bakery,15.5
2026-05-23,1003,grocery,24.8
2026-05-23,1003,frozen,14.3
2026-05-24,1001,produce,17.3
2026-05-24,1001,dairy,16.3
2026-05-24,1001,meat,15.4
2026-05-24,1001,bakery,17.3
2026-05-24,1001,grocery,25.1
2026-05-24,1001,frozen,14.7
2026-05-24,1002,produce,14.2
2026-05-24,1002,dairy,16.8
2026-05-24,1002,meat,15.8
2026-05-24,1002,bakery,14.2
2026-05-24,1002,grocery,25.4
2026-05-24,1002,frozen,16.9
2026-05-24,1003,produce,14.2
2026-05-24,1003,dairy,17.9
2026-05-24,1003,meat,17.5
2026-05-24,1003,bakery,16.1
2026-05-24,1003,grocery,23.5
2026-05-24,1003,frozen,15.8
2026-05-25,1001,produce,14.6
2026-05-25,1001,dairy,14.9
2026-05-25,1001,meat,14.6
2026-05-25,1001,bakery,14.2
2026-05-25,1001,grocery,21.9
2026-05-25,1001,frozen,14.7
2026-05-25,1002,produce,16.2
2026-05-25,1002,dairy,13.4
2026-05-25,1002,meat,15.1
2026-05-25,1002,bakery,13.8
2026-05-25,1002,grocery,23.2
2026-05-25,1002,frozen,12.5
2026-05-25,1003,produce,15.6
2026-05-25,1003,dairy,14.6
2026-05-25,1003,meat,15.5
2026-05-25,1003,bakery,15.0
2026-05-25,1003,grocery,23.5
2026-05-25,1003,frozen,16.2
2026-05-26,1001,produce,13.9
2026-05-26,1001,dairy,13.8
2026-05-26,1001,meat,13.1
2026-05-26,1001,bakery,16.5
2026-05-26,1001,grocery,23.6
2026-05-26,1001,frozen,14.2
2026-05-26,1002,produce,13.1
2026-05-26,1002,dairy,16.0
2026-05-26,1002,meat,15.6
2026-05-26,1002,bakery,15.2
2026-05-26,1002,grocery,22.7
2026-05-26,1002,frozen,12.2
2026-05-26,1003,produce,12.3
2026-05-26,1003,dairy,12.6
2026-05-26,1003,meat,14.4
2026-05-26,1003,bakery,13.0
2026-05-26,1003,grocery,23.5
2026-05-26,1003,frozen,16.4
2026-05-27,1001,produce,13.0
2026-05-27,1001,dairy,13.6
2026-05-27,1001,meat,12.5
2026-05-27,1001,bakery,12.9
2026-05-27,1001,grocery,20.0
2026-05-27,1001,frozen,13.2
2026-05-27,1002,produce,12.2
2026-05-27,1002,dairy,14.1
2026-05-27,1002,meat,15.9
2026-05-27,1002,bakery,12.7
2026-05-27,1002,grocery,22.9
2026-05-27,1002,frozen,16.4
2026-05-27,1003,produce,13.0
2026-05-27,1003,dairy,13.8
2026-05-27,1003,meat,15.0
2026-05-27,1003,bakery,13.0
2026-05-27,1003,grocery,22.2
2026-05-27,1003,frozen,15.5
2026-05-28,1001,produce,14.6
2026-05-28,1001,dairy,14.0
2026-05-28,1001,meat,15.7
2026-05-28,1001,bakery,12.3
2026-05-28,1001,grocery,23.1
2026-05-28,1001,frozen,14.3
2026-05-28,1002,produce,12.1
2026-05-28,1002,dairy,15.2
2026-05-28,1002,meat,15.8
2026-05-28,1002,bakery,16.0
2026-05-28,1002,grocery,20.0
2026-05-28,1002,frozen,12.2
2026-05-28,1003,produce,14.1
2026-05-28,1003,dairy,15.2
